Time (UTC+03:00),Clicks,Impressions,CTR,Position
2025-12-15T21:00:00,0,0,0%,0
2025-12-15T22:00:00,0,1,0%,3
2025-12-15T23:00:00,0,3,0%,3.7
2025-12-16T00:00:00,0,5,0%,4.2
2025-12-16T01:00:00,0,2,0%,3
2025-12-16T02:00:00,0,3,0%,3.3
2025-12-16T03:00:00,0,3,0%,4.3
2025-12-16T04:00:00,0,8,0%,4.2
2025-12-16T05:00:00,0,6,0%,5.3
2025-12-16T06:00:00,0,2,0%,4
2025-12-16T07:00:00,0,1,0%,9
2025-12-16T08:00:00,0,2,0%,4
2025-12-16T09:00:00,0,3,0%,2.7
2025-12-16T10:00:00,0,1,0%,3
2025-12-16T11:00:00,0,2,0%,4.5
2025-12-16T12:00:00,0,2,0%,3.5
2025-12-16T13:00:00,0,8,0%,3.4
2025-12-16T14:00:00,0,8,0%,4.9
2025-12-16T15:00:00,0,4,0%,3
2025-12-16T16:00:00,0,5,0%,5.4
2025-12-16T17:00:00,0,1,0%,3
2025-12-16T18:00:00,0,1,0%,10
2025-12-16T19:00:00,0,0,0%,0
2025-12-16T20:00:00,0,0,0%,0